Time,Value
0.0,0.0
0.0010,0.05
0.0020,-0.05
0.0030,0.3
0.0040,-0.71
0.0050,2.37
0.0060,-6.83
0.0070,20.87
0.0080,-62.32
0.0090,187.78
0.01,-563.92
0.011,-1315.61
0.012,-2067.3
0.013,-2819.0
0.014,-3570.69
0.015,-4322.39
0.016,-5074.08
0.017,-5825.77
0.018,-6577.47
0.019,-7329.16
0.02,-8080.85
0.021,-8832.55
0.022,-9584.24
0.023,-10335.93
0.024,-11087.63
0.025,-11839.32
0.026,-12591.01
0.027,-13342.71
0.028,-14094.4
0.029,-14846.09
0.03,-15597.79
0.031,-16349.48
0.032,-17101.18
0.033,-17852.87
0.034,-18604.56
0.035,-19356.26
0.036,-20107.95
0.037,-20859.64
0.038,-21611.34
0.039,-22363.03
0.04,-23114.72
0.041,-23866.42
0.042,-24618.11
0.043,-25369.8
0.044,-26121.5
0.045,-26873.19
0.046,-27624.89
0.047,-28376.58
0.048,-29128.27
0.049,-29879.97
0.05,-30631.66
0.051,-31383.35
0.052,-32135.05
0.053,-32886.74
0.054,-33638.43
0.055,-34390.13
0.056,-35141.82
0.057,-35893.51
0.058,-36645.21
0.059,-37396.9
0.06,-38148.59
0.061,-38900.29
0.062,-39651.98
0.063,-40403.68
0.064,-41155.37
0.065,-41907.06
0.066,-42658.76
0.067,-43410.45
0.068,-44162.14
0.069,-44913.84
0.07,-45665.53
0.071,-46417.22
0.072,-47168.92
0.073,-47920.61
0.074,-48672.3
0.075,-49424.0
0.076,-50175.69
0.077,-50927.39
0.078,-51679.08
0.079,-52430.77
0.08,-53182.47
0.081,-53934.16
0.082,-54685.85
0.083,-55437.55
0.084,-56189.24
0.085,-56940.93
0.086,-57692.63
0.087,-58444.32
0.088,-59196.01
0.089,-59947.71
0.09,-60699.4
0.091,-61451.09
0.092,-62202.79
0.093,-62954.48
0.094,-63706.18
0.095,-64457.87
0.096,-65209.56
0.097,-65961.26
0.098,-66712.95
0.099,-67464.64
0.1,-68216.34
0.101,-65483.27
0.102,-73418.03
0.103,-49480.29
0.104,-121536.65
0.105,94752.9
0.106,-555854.97
0.107,1399053.04
0.108,-4477850.16
0.109,1.31857912E7
0.11,-3.990855474E7
0.111,-9.300290068E7
0.112,-1.4609724662E8
0.113,-1.9919159256E8
0.114,-2.522859385E8
0.115,-3.0538028445E8
0.116,-3.5847463039E8
0.117,-4.1156897633E8
0.118,-4.6466332227E8
0.119,-5.1775766821E8
0.12,-5.7085201415E8
0.121,-6.239463601E8
0.122,-6.7704070604E8
0.123,-7.3013505198E8
0.124,-7.8322939792E8
0.125,-8.3632374386E8
0.126,-8.894180898E8
0.127,-9.4251243574E8
0.128,-9.9560678169E8
0.129,-1.04870112763E9
0.13,-1.10179547357E9
0.131,-1.15488981951E9
0.132,-1.20798416545E9
0.133,-1.26107851139E9
0.134,-1.31417285733E9
0.135,-1.36726720328E9
0.136,-1.42036154922E9
0.137,-1.47345589516E9
0.138,-1.5265502411E9
0.139,-1.57964458704E9
0.14,-1.63273893298E9
0.141,-1.68583327893E9
0.142,-1.73892762487E9
0.143,-1.79202197081E9
0.144,-1.84511631675E9
0.145,-1.89821066269E9
0.146,-1.95130500863E9
0.147,-2.00439935457E9
0.148,-2.05749370052E9
0.149,-2.11058804646E9
0.15,-2.1636823924E9
0.151,-2.21677673834E9
0.152,-2.26987108428E9
0.153,-2.32296543022E9
0.154,-2.37605977616E9
0.155,-2.42915412211E9
0.156,-2.48224846805E9
0.157,-2.53534281399E9
0.158,-2.58843715993E9
0.159,-2.64153150587E9
0.16,-2.69462585181E9
0.161,-2.74772019775E9
0.162,-2.8008145437E9
0.163,-2.85390888964E9
0.164,-2.90700323558E9
0.165,-2.96009758152E9
0.166,-3.01319192746E9
0.167,-3.0662862734E9
0.168,-3.11938061935E9
0.169,-3.17247496529E9
0.17,-3.22556931123E9
0.171,-3.27866365717E9
0.172,-3.33175800311E9
0.173,-3.38485234905E9
0.174,-3.43794669499E9
0.175,-3.49104104094E9
0.176,-3.54413538688E9
0.177,-3.59722973282E9
0.178,-3.65032407876E9
0.179,-3.7034184247E9
0.18,-3.75651277064E9
0.181,-3.80960711658E9
0.182,-3.86270146253E9
0.183,-3.91579580847E9
0.184,-3.96889015441E9
0.185,-4.02198450035E9
0.186,-4.07507884629E9
0.187,-4.12817319223E9
0.188,-4.18126753818E9
0.189,-4.23436188412E9
0.19,-4.28745623006E9
0.191,-4.340550576E9
0.192,-4.39364492194E9
0.193,-4.44673926788E9
0.194,-4.49983361382E9
0.195,-4.55292795977E9
0.196,-4.60602230571E9
0.197,-4.65911665165E9
0.198,-4.71221099759E9
0.199,-4.76530534353E9
0.2,-4.81839968947E9
0.201,-4.62536157364E9
0.202,-5.1850817891E9
0.203,-3.49509050739E9
0.204,-8.58004782174E9
0.205,6.68601433681E9
0.206,-3.923095900726E10
0.207,9.874059506353E10
0.208,-3.1602480449944E11
0.209,9.3058957746625E11
0.21,-2.81651116050232E12
0.211,-6.56361189847089E12
0.212,-1.031071263643945E13
0.213,-1.405781337440802E13
0.214,-1.780491411237659E13
0.215,-2.155201485034516E13
0.216,-2.529911558831373E13
0.217,-2.90462163262823E13
0.218,-3.279331706425087E13
0.219,-3.654041780221944E13
0.22,-4.028751854018801E13
0.221,-4.403461927815658E13
0.222,-4.778172001612516E13
0.223,-5.152882075409372E13
0.224,-5.52759214920623E13
0.225,-5.902302223003086E13
0.226,-6.277012296799944E13
0.227,-6.6517223705968E13
0.228,-7.026432444393658E13
0.229,-7.401142518190514E13
