Time,Value
0.0,0.0
0.0010,0.09
0.0020,0.08
0.0030,0.17
0.0040,0.17
0.0050,0.25
0.0060,0.25
0.0070,0.33
0.0080,0.33
0.0090,0.41
0.01,0.4
0.011,0.4
0.012,0.39
0.013,0.38
0.014,0.37
0.015,0.37
0.016,0.36
0.017,0.35
0.018,0.35
0.019,0.34
0.02,0.33
0.021,0.32
0.022,0.32
0.023,0.31
0.024,0.3
0.025,0.3
0.026,0.29
0.027,0.28
0.028,0.27
0.029,0.27
0.03,0.26
0.031,0.25
0.032,0.24
0.033,0.24
0.034,0.23
0.035,0.22
0.036,0.22
0.037,0.21
0.038,0.2
0.039,0.19
0.04,0.19
0.041,0.18
0.042,0.17
0.043,0.17
0.044,0.16
0.045,0.15
0.046,0.14
0.047,0.14
0.048,0.13
0.049,0.12
0.05,0.11
0.051,0.11
0.052,0.1
0.053,0.09
0.054,0.09
0.055,0.08
0.056,0.07
0.057,0.06
0.058,0.06
0.059,0.05
0.06,0.04
0.061,0.03
0.062,0.03
0.063,0.02
0.064,0.01
0.065,0.01
0.066,0.0
0.067,-0.01
0.068,-0.02
0.069,-0.02
0.07,-0.03
0.071,-0.04
0.072,-0.04
0.073,-0.05
0.074,-0.06
0.075,-0.07
0.076,-0.07
0.077,-0.08
0.078,-0.09
0.079,-0.1
0.08,-0.1
0.081,-0.11
0.082,-0.12
0.083,-0.12
0.084,-0.13
0.085,-0.14
0.086,-0.15
0.087,-0.15
0.088,-0.16
0.089,-0.17
0.09,-0.17
0.091,-0.18
0.092,-0.19
0.093,-0.2
0.094,-0.2
0.095,-0.21
0.096,-0.22
0.097,-0.23
0.098,-0.23
0.099,-0.24
0.1,-0.25
0.101,-0.15
0.102,-0.16
0.103,-0.06
0.104,-0.07
0.105,0.02
0.106,0.01
0.107,0.11
0.108,0.09
0.109,0.19
0.11,0.18
0.111,0.16
0.112,0.15
0.113,0.13
0.114,0.11
0.115,0.1
0.116,0.08
0.117,0.07
0.118,0.05
0.119,0.04
0.12,0.02
0.121,0.01
0.122,-0.01
0.123,-0.03
0.124,-0.04
0.125,-0.06
0.126,-0.07
0.127,-0.09
0.128,-0.1
0.129,-0.12
0.13,-0.13
0.131,-0.15
0.132,-0.16
0.133,-0.18
0.134,-0.2
0.135,-0.21
0.136,-0.23
0.137,-0.24
0.138,-0.26
0.139,-0.27
0.14,-0.29
0.141,-0.3
0.142,-0.32
0.143,-0.33
0.144,-0.35
0.145,-0.37
0.146,-0.38
0.147,-0.4
0.148,-0.41
0.149,-0.43
0.15,-0.44
0.151,-0.46
0.152,-0.47
0.153,-0.49
0.154,-0.5
0.155,-0.52
0.156,-0.54
0.157,-0.55
0.158,-0.57
0.159,-0.58
0.16,-0.6
0.161,-0.61
0.162,-0.63
0.163,-0.64
0.164,-0.66
0.165,-0.67
0.166,-0.69
0.167,-0.71
0.168,-0.72
0.169,-0.74
0.17,-0.75
0.171,-0.77
0.172,-0.78
0.173,-0.8
0.174,-0.81
0.175,-0.83
0.176,-0.84
0.177,-0.86
0.178,-0.88
0.179,-0.89
0.18,-0.91
0.181,-0.92
0.182,-0.94
0.183,-0.95
0.184,-0.97
0.185,-0.98
0.186,-1.0
0.187,-1.01
0.188,-1.03
0.189,-1.05
0.19,-1.06
0.191,-1.08
0.192,-1.09
0.193,-1.11
0.194,-1.12
0.195,-1.14
0.196,-1.15
0.197,-1.17
0.198,-1.18
0.199,-1.2
0.2,-1.22
0.201,-1.09
0.202,-1.11
0.203,-0.99
0.204,-1.01
0.205,-0.89
0.206,-0.91
0.207,-0.79
0.208,-0.81
0.209,-0.69
0.21,-0.71
0.211,-0.74
0.212,-0.77
0.213,-0.79
0.214,-0.82
0.215,-0.84
0.216,-0.87
0.217,-0.9
0.218,-0.92
0.219,-0.95
0.22,-0.97
0.221,-1.0
0.222,-1.02
0.223,-1.05
0.224,-1.08
0.225,-1.1
0.226,-1.13
0.227,-1.15
0.228,-1.18
0.229,-1.21
0.23,-1.23
0.231,-1.26
0.232,-1.28
0.233,-1.31
0.234,-1.33
0.235,-1.36
0.236,-1.39
0.237,-1.41
0.238,-1.44
0.239,-1.46
0.24,-1.49
0.241,-1.52
0.242,-1.54
0.243,-1.57
0.244,-1.59
0.245,-1.62
0.246,-1.64
0.247,-1.67
0.248,-1.7
0.249,-1.72
0.25,-1.75
0.251,-1.77
0.252,-1.8
0.253,-1.82
0.254,-1.85
0.255,-1.88
0.256,-1.9
0.257,-1.93
0.258,-1.95
0.259,-1.98
0.26,-2.01
0.261,-2.03
0.262,-2.06
0.263,-2.08
0.264,-2.11
0.265,-2.13
0.266,-2.16
0.267,-2.19
0.268,-2.21
0.269,-2.24
0.27,-2.26
0.271,-2.29
0.272,-2.32
0.273,-2.34
0.274,-2.37
0.275,-2.39
0.276,-2.42
0.277,-2.44
0.278,-2.47
0.279,-2.5
0.28,-2.52
0.281,-2.55
0.282,-2.57
0.283,-2.6
0.284,-2.63
0.285,-2.65
0.286,-2.68
0.287,-2.7
0.288,-2.73
0.289,-2.75
0.29,-2.78
0.291,-2.81
0.292,-2.83
0.293,-2.86
0.294,-2.88
0.295,-2.91
0.296,-2.93
0.297,-2.96
0.298,-2.99
0.299,-3.01
0.3,-3.04
0.301,-2.88
0.302,-2.9
0.303,-2.74
0.304,-2.77
0.305,-2.61
0.306,-2.64
0.307,-2.48
0.308,-2.52
0.309,-2.35
0.31,-2.39
0.311,-2.43
0.312,-2.47
0.313,-2.51
0.314,-2.55
0.315,-2.59
0.316,-2.63
0.317,-2.67
0.318,-2.71
0.319,-2.75
0.32,-2.79
0.321,-2.83
0.322,-2.87
0.323,-2.91
0.324,-2.95
0.325,-2.99
0.326,-3.03
0.327,-3.07
0.328,-3.11
0.329,-3.15
0.33,-3.19
0.331,-3.23
0.332,-3.26
0.333,-3.3
0.334,-3.34
0.335,-3.38
0.336,-3.42
0.337,-3.46
0.338,-3.5
0.339,-3.54
0.34,-3.58
0.341,-3.62
0.342,-3.66
0.343,-3.7
0.344,-3.74
0.345,-3.78
0.346,-3.82
0.347,-3.86
0.348,-3.9
0.349,-3.94
0.35,-3.98
0.351,-4.02
0.352,-4.06
0.353,-4.1
0.354,-4.14
0.355,-4.18
0.356,-4.22
0.357,-4.26
0.358,-4.3
0.359,-4.34
0.36,-4.38
0.361,-4.42
0.362,-4.46
0.363,-4.5
0.364,-4.54
0.365,-4.58
0.366,-4.61
0.367,-4.65
0.368,-4.69
0.369,-4.73
0.37,-4.77
0.371,-4.81
0.372,-4.85
0.373,-4.89
0.374,-4.93
0.375,-4.97
0.376,-5.01
0.377,-5.05
0.378,-5.09
0.379,-5.13
0.38,-5.17
0.381,-5.21
0.382,-5.25
0.383,-5.29
0.384,-5.33
0.385,-5.37
0.386,-5.41
0.387,-5.45
0.388,-5.49
0.389,-5.53
0.39,-5.57
0.391,-5.61
0.392,-5.65
0.393,-5.69
0.394,-5.73
0.395,-5.77
0.396,-5.81
0.397,-5.85
0.398,-5.89
0.399,-5.93
0.4,-5.97
0.401,-5.74
0.402,-5.78
0.403,-5.56
0.404,-5.6
0.405,-5.38
0.406,-5.43
0.407,-5.2
0.408,-5.25
0.409,-5.02
0.41,-5.08
0.411,-5.14
0.412,-5.2
0.413,-5.26
0.414,-5.32
0.415,-5.38
0.416,-5.44
0.417,-5.5
0.418,-5.56
0.419,-5.61
0.42,-5.67
0.421,-5.73
0.422,-5.79
0.423,-5.85
0.424,-5.91
0.425,-5.97
0.426,-6.03
0.427,-6.09
0.428,-6.15
0.429,-6.21
0.43,-6.26
0.431,-6.32
0.432,-6.38
0.433,-6.44
0.434,-6.5
0.435,-6.56
0.436,-6.62
0.437,-6.68
0.438,-6.74
0.439,-6.8
0.44,-6.86
0.441,-6.91
0.442,-6.97
0.443,-7.03
0.444,-7.09
0.445,-7.15
0.446,-7.21
0.447,-7.27
0.448,-7.33
0.449,-7.39
0.45,-7.45
0.451,-7.5
0.452,-7.56
0.453,-7.62
0.454,-7.68
0.455,-7.74
0.456,-7.8
0.457,-7.86
0.458,-7.92
0.459,-7.98
0.46,-8.04
0.461,-8.1
0.462,-8.15
0.463,-8.21
0.464,-8.27
0.465,-8.33
0.466,-8.39
0.467,-8.45
0.468,-8.51
0.469,-8.57
0.47,-8.63
0.471,-8.69
0.472,-8.75
0.473,-8.8
0.474,-8.86
0.475,-8.92
0.476,-8.98
0.477,-9.04
0.478,-9.1
0.479,-9.16
0.48,-9.22
0.481,-9.28
0.482,-9.34
0.483,-9.4
0.484,-9.45
0.485,-9.51
0.486,-9.57
0.487,-9.63
0.488,-9.69
0.489,-9.75
0.49,-9.81
0.491,-9.87
0.492,-9.93
0.493,-9.99
0.494,-10.04
0.495,-10.1
0.496,-10.16
0.497,-10.22
0.498,-10.28
0.499,-10.34
0.5,-10.4
0.501,-10.08
0.502,-10.14
0.503,-9.82
0.504,-9.89
0.505,-9.57
0.506,-9.64
0.507,-9.32
0.508,-9.4
0.509,-9.07
0.51,-9.16
0.511,-9.25
0.512,-9.33
0.513,-9.42
0.514,-9.51
0.515,-9.59
0.516,-9.68
0.517,-9.77
0.518,-9.85
0.519,-9.94
0.52,-10.03
0.521,-10.11
0.522,-10.2
0.523,-10.29
0.524,-10.37
0.525,-10.46
0.526,-10.55
0.527,-10.63
0.528,-10.72
0.529,-10.81
0.53,-10.89
0.531,-10.98
0.532,-11.06
0.533,-11.15
0.534,-11.24
0.535,-11.32
0.536,-11.41
0.537,-11.5
0.538,-11.58
0.539,-11.67
0.54,-11.76
0.541,-11.84
0.542,-11.93
0.543,-12.02
0.544,-12.1
0.545,-12.19
0.546,-12.28
0.547,-12.36
0.548,-12.45
0.549,-12.54
0.55,-12.62
0.551,-12.71
0.552,-12.8
0.553,-12.88
0.554,-12.97
0.555,-13.06
0.556,-13.14
0.557,-13.23
0.558,-13.31
0.559,-13.4
0.56,-13.49
0.561,-13.57
0.562,-13.66
0.563,-13.75
0.564,-13.83
0.565,-13.92
0.566,-14.01
0.567,-14.09
0.568,-14.18
0.569,-14.27
0.57,-14.35
0.571,-14.44
0.572,-14.53
0.573,-14.61
0.574,-14.7
0.575,-14.79
0.576,-14.87
0.577,-14.96
0.578,-15.05
0.579,-15.13
0.58,-15.22
0.581,-15.31
0.582,-15.39
0.583,-15.48
0.584,-15.57
0.585,-15.65
0.586,-15.74
0.587,-15.82
0.588,-15.91
0.589,-16.0
0.59,-16.08
0.591,-16.17
0.592,-16.26
0.593,-16.34
0.594,-16.43
0.595,-16.52
0.596,-16.6
0.597,-16.69
0.598,-16.78
0.599,-16.86
0.6,-16.95
0.601,-16.49
0.602,-16.58
0.603,-16.12
0.604,-16.23
0.605,-15.76
0.606,-15.87
0.607,-15.41
0.608,-15.53
0.609,-15.06
0.61,-15.18
0.611,-15.31
0.612,-15.44
0.613,-15.56
0.614,-15.69
0.615,-15.81
0.616,-15.94
0.617,-16.07
0.618,-16.19
0.619,-16.32
0.62,-16.44
0.621,-16.57
0.622,-16.7
0.623,-16.82
0.624,-16.95
0.625,-17.07
0.626,-17.2
0.627,-17.33
0.628,-17.45
0.629,-17.58
0.63,-17.7
0.631,-17.83
0.632,-17.95
0.633,-18.08
0.634,-18.21
0.635,-18.33
0.636,-18.46
0.637,-18.58
0.638,-18.71
0.639,-18.84
0.64,-18.96
0.641,-19.09
0.642,-19.21
0.643,-19.34
0.644,-19.47
0.645,-19.59
0.646,-19.72
0.647,-19.84
0.648,-19.97
0.649,-20.1
0.65,-20.22
0.651,-20.35
0.652,-20.47
0.653,-20.6
0.654,-20.72
0.655,-20.85
0.656,-20.98
0.657,-21.1
0.658,-21.23
0.659,-21.35
0.66,-21.48
0.661,-21.61
0.662,-21.73
0.663,-21.86
0.664,-21.98
0.665,-22.11
0.666,-22.24
0.667,-22.36
0.668,-22.49
0.669,-22.61
0.67,-22.74
0.671,-22.87
0.672,-22.99
0.673,-23.12
0.674,-23.24
0.675,-23.37
0.676,-23.49
0.677,-23.62
0.678,-23.75
0.679,-23.87
0.68,-24.0
0.681,-24.12
0.682,-24.25
0.683,-24.38
0.684,-24.5
0.685,-24.63
0.686,-24.75
0.687,-24.88
0.688,-25.01
0.689,-25.13
0.69,-25.26
0.691,-25.38
0.692,-25.51
0.693,-25.64
0.694,-25.76
0.695,-25.89
0.696,-26.01
0.697,-26.14
0.698,-26.26
0.699,-26.39
0.7,-26.52
0.701,-25.86
0.702,-25.99
0.703,-25.33
0.704,-25.48
0.705,-24.81
0.706,-24.97
0.707,-24.3
0.708,-24.47
0.709,-23.8
0.71,-23.98
0.711,-24.16
0.712,-24.35
0.713,-24.53
0.714,-24.71
0.715,-24.9
0.716,-25.08
0.717,-25.26
0.718,-25.44
0.719,-25.63
0.72,-25.81
0.721,-25.99
0.722,-26.17
0.723,-26.36
0.724,-26.54
0.725,-26.72
0.726,-26.9
0.727,-27.09
0.728,-27.27
0.729,-27.45
0.73,-27.63
0.731,-27.82
0.732,-28.0
0.733,-28.18
0.734,-28.36
0.735,-28.55
0.736,-28.73
0.737,-28.91
0.738,-29.09
0.739,-29.28
0.74,-29.46
0.741,-29.64
0.742,-29.83
0.743,-30.01
0.744,-30.19
0.745,-30.37
0.746,-30.56
0.747,-30.74
0.748,-30.92
0.749,-31.1
0.75,-31.29
0.751,-31.47
0.752,-31.65
0.753,-31.83
0.754,-32.02
0.755,-32.2
0.756,-32.38
0.757,-32.56
0.758,-32.75
0.759,-32.93
0.76,-33.11
0.761,-33.29
0.762,-33.48
0.763,-33.66
0.764,-33.84
0.765,-34.02
0.766,-34.21
0.767,-34.39
0.768,-34.57
0.769,-34.75
0.77,-34.94
0.771,-35.12
0.772,-35.3
0.773,-35.49
0.774,-35.67
0.775,-35.85
0.776,-36.03
0.777,-36.22
0.778,-36.4
0.779,-36.58
0.78,-36.76
0.781,-36.95
0.782,-37.13
0.783,-37.31
0.784,-37.49
0.785,-37.68
0.786,-37.86
0.787,-38.04
0.788,-38.22
0.789,-38.41
0.79,-38.59
0.791,-38.77
0.792,-38.95
0.793,-39.14
0.794,-39.32
0.795,-39.5
0.796,-39.68
0.797,-39.87
0.798,-40.05
0.799,-40.23
0.8,-40.42
0.801,-39.46
0.802,-39.66
0.803,-38.7
0.804,-38.92
0.805,-37.95
0.806,-38.19
0.807,-37.22
0.808,-37.47
0.809,-36.5
0.81,-36.76
0.811,-37.03
0.812,-37.29
0.813,-37.56
0.814,-37.82
0.815,-38.08
0.816,-38.35
0.817,-38.61
0.818,-38.88
0.819,-39.14
0.82,-39.41
0.821,-39.67
0.822,-39.94
0.823,-40.2
0.824,-40.46
0.825,-40.73
0.826,-40.99
0.827,-41.26
0.828,-41.52
0.829,-41.79
0.83,-42.05
0.831,-42.31
0.832,-42.58
0.833,-42.84
0.834,-43.11
0.835,-43.37
0.836,-43.64
0.837,-43.9
0.838,-44.16
0.839,-44.43
0.84,-44.69
0.841,-44.96
0.842,-45.22
0.843,-45.49
0.844,-45.75
0.845,-46.02
0.846,-46.28
0.847,-46.54
0.848,-46.81
0.849,-47.07
0.85,-47.34
0.851,-47.6
0.852,-47.87
0.853,-48.13
0.854,-48.39
0.855,-48.66
0.856,-48.92
0.857,-49.19
0.858,-49.45
0.859,-49.72
0.86,-49.98
0.861,-50.25
0.862,-50.51
0.863,-50.77
0.864,-51.04
0.865,-51.3
0.866,-51.57
0.867,-51.83
0.868,-52.1
0.869,-52.36
0.87,-52.62
0.871,-52.89
0.872,-53.15
0.873,-53.42
0.874,-53.68
0.875,-53.95
0.876,-54.21
0.877,-54.47
0.878,-54.74
0.879,-55.0
0.88,-55.27
0.881,-55.53
0.882,-55.8
0.883,-56.06
0.884,-56.33
0.885,-56.59
0.886,-56.85
0.887,-57.12
0.888,-57.38
0.889,-57.65
0.89,-57.91
0.891,-58.18
0.892,-58.44
0.893,-58.7
0.894,-58.97
0.895,-59.23
0.896,-59.5
0.897,-59.76
0.898,-60.03
0.899,-60.29
0.9,-60.55
0.901,-59.18
0.902,-59.46
0.903,-58.08
0.904,-58.39
0.905,-57.0
0.906,-57.34
0.907,-55.94
0.908,-56.3
0.909,-54.9
0.91,-55.28
0.911,-55.67
0.912,-56.05
0.913,-56.43
0.914,-56.81
0.915,-57.2
0.916,-57.58
0.917,-57.96
0.918,-58.34
0.919,-58.73
0.92,-59.11
0.921,-59.49
0.922,-59.87
0.923,-60.25
0.924,-60.64
0.925,-61.02
0.926,-61.4
0.927,-61.78
0.928,-62.17
0.929,-62.55
0.93,-62.93
0.931,-63.31
0.932,-63.7
0.933,-64.08
0.934,-64.46
0.935,-64.84
0.936,-65.23
0.937,-65.61
0.938,-65.99
0.939,-66.37
0.94,-66.76
0.941,-67.14
0.942,-67.52
0.943,-67.9
0.944,-68.29
0.945,-68.67
0.946,-69.05
0.947,-69.43
0.948,-69.82
0.949,-70.2
0.95,-70.58
0.951,-70.96
0.952,-71.35
0.953,-71.73
0.954,-72.11
0.955,-72.49
0.956,-72.88
0.957,-73.26
0.958,-73.64
0.959,-74.02
0.96,-74.41
0.961,-74.79
0.962,-75.17
0.963,-75.55
0.964,-75.94
0.965,-76.32
0.966,-76.7
0.967,-77.08
0.968,-77.47
0.969,-77.85
0.97,-78.23
0.971,-78.61
0.972,-79.0
0.973,-79.38
0.974,-79.76
0.975,-80.14
0.976,-80.52
0.977,-80.91
0.978,-81.29
0.979,-81.67
0.98,-82.05
0.981,-82.44
0.982,-82.82
0.983,-83.2
0.984,-83.58
0.985,-83.97
0.986,-84.35
0.987,-84.73
0.988,-85.11
0.989,-85.5
0.99,-85.88
0.991,-86.26
0.992,-86.64
0.993,-87.03
0.994,-87.41
0.995,-87.79
0.996,-88.17
0.997,-88.56
0.998,-88.94
0.999,-89.32
